accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution
MW979352	MW979352.1	SJR522	2017-08-28	South America	Brazil			Homo sapiens	2021-09-22		de Melo et al.	de Melo,B.O.,Junior,A.D.S.,Costa,A.K.S.,da Silva,L.C.N.,Turri,Rd.J.G.,Zagmignan,A.,Bomfim,M.R.Q.	Universidade Do Ceuma, Biologia Microbiana
MZ292728	MZ292728.1	2014-CV001 (ex French Polynesia)	2014-11-XX	Asia	Laos			Homo sapiens	2022-02-15		Calvez et al.	Calvez,E.,Grandadam,M.	Institut Pasteur du Laos, Arbovirus & Emerging Viral Diseases Laboratory
MZ292729	MZ292729.1	2019-9293 (ex Indonesia)	2019-02-XX	Asia	Laos			Homo sapiens	2022-02-15		Calvez et al.	Calvez,E.,Grandadam,M.	Institut Pasteur du Laos, Arbovirus & Emerging Viral Diseases Laboratory
MZ494491	MZ494491.1	CHIKV-China/YN2018E1-3	2018-09-XX	Asia	China			Culicidae	2022-03-12		Feng et al.	Feng,G.,Zhang,J.,Zhang,Y.,Li,C.,Zhang,D.,Li,Y.,Zhou,H.,Li,N.,Xiao,P.,Lu,H.	Wenzhou University, Institute of Virology
MZ701719	MZ701719.1	26-Pak_2018	2018-03-06	Asia	Pakistan			Homo sapiens	2022-10-17		Badar et al.	Badar,N.	National Institute of Health, Virology Phld
MZ701721	MZ701721.1	40_Pak_2017	2016-03-07	Asia	Pakistan			Homo sapiens	2022-10-17		Badar et al.	Badar,N.	National Institute of Health, Virology Phld
MZ726844	MZ726844.1	645_Pak_2017	2017-08-06	Asia	Pakistan			Homo sapiens	2022-10-24		Badar et al.	Badar,N.	National Institute of Health, Virology PHLD
MZ726869	MZ726869.1	401_Pak_2017	2017-02-01	Asia	Pakistan			Homo sapiens	2022-10-24		Badar et al.	Badar,N.	National Institute of Health, Virology PHLD
MZ726883	MZ726883.1	117_Pak_2017	2017-09-26	Asia	Pakistan			Homo sapiens	2022-10-24		Badar et al.	Badar,N.	National Institute of Health, Virology PHLD
OK139083	OK139083.1	NIMH/40C/2019	2019-08-28	Asia	India			Homo sapiens	2022-10-18		Rasheed et al.	Rasheed,R.,Prasad,P.,Pattabiraman,C.,Desai,A.,Ravi,V.	National Institute of Mental Health and Neurosciences, Department of Neurovirology
