accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution
OQ759869	OQ759869.1	CHIKV|PE|5542|NBC02|2021-10-25	2021-10-25	South America	Brazil	Ipojuca	Pernambuco	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil
OQ759924	OQ759924.1	CHIKV|PI|NB41|2022-04-05	2022-04-05	South America	Brazil	Teresina	Piaui	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil
OQ760006	OQ760006.1	CHIKV|RN|ZDC-1035|2022-04-26	2022-04-26	South America	Brazil	Parnamirim	Rio Grande do Norte	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil
OQ760049	OQ760049.1	CHIKV|NB61|SE-17|2021-09-28	2021-09-28	South America	Brazil	Neopolis	Sergipe	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil
OQ760056	OQ760056.1	CHIKV|NB68|SE-24|2021-09-28	2021-09-28	South America	Brazil	Lagarto	Sergipe	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil
OQ760057	OQ760057.1	CHIKV|NB69|SE-25|2021-10-04	2021-10-04	South America	Brazil	Neopolis	Sergipe	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil
OQ760074	OQ760074.1	CHIKV|NB87|SE-43|2021-10-17	2021-10-17	South America	Brazil	Porto Da Folha	Sergipe	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil
OQ775500	OQ775500.1	PY_CHIKV_L2_barcode17|AMBULATORIO|2023-02-15	2023-02-15	South America	Paraguay	San Pedro del Ycuamandiyu	San Pedro	Homo sapiens	2023-07-26		Giovanetti et al.	Giovanetti,M.,Vazquez,C.,Lima,M.,Castro,E.,Rojas,A.,Gomez de la Fuente,A.,Aquino,C.,Cantero,C.,Fleitas,F.,Torales,J.,Barrios,J.,Ortega,M.J.,Gamarra,M.L.,Villalba,S.,Alfonzo,T.,Xavier,J.,Adelino,T.,Fritsch,H.,Iani,F.C.M.,Pereira,G.C.,de Oliveira,C.,Schuab,G.,Rodrigues,E.S.,Kashima,S.,Leite,J.,Gresh,L.,Franco,L.,Tegally,H.,Van Voorhis,W.C.,Lessels,R.,Bispo de Filippis,A.M.,Ojeda,A.,Sequera,G.,Montoya,R.,Holmes,E.C.,de Oliveira,T.,Roco,J.M.,Lourenco,J.,Fonseca,V.,Alcantara,L.C.J.,Rodrigues,E.,Mendes,J.,Filippis,A.M.Bd.	Pan American Health Organization (PAHO), PHE-Brazil
OQ775547	OQ775547.1	PY_CHIKV_L2_barcode66|AMBULATORIO|2023-03-01	2023-03-01	South America	Paraguay	Pilar	Neembucu	Homo sapiens	2023-07-26		Giovanetti et al.	Giovanetti,M.,Vazquez,C.,Lima,M.,Castro,E.,Rojas,A.,Gomez de la Fuente,A.,Aquino,C.,Cantero,C.,Fleitas,F.,Torales,J.,Barrios,J.,Ortega,M.J.,Gamarra,M.L.,Villalba,S.,Alfonzo,T.,Xavier,J.,Adelino,T.,Fritsch,H.,Iani,F.C.M.,Pereira,G.C.,de Oliveira,C.,Schuab,G.,Rodrigues,E.S.,Kashima,S.,Leite,J.,Gresh,L.,Franco,L.,Tegally,H.,Van Voorhis,W.C.,Lessels,R.,Bispo de Filippis,A.M.,Ojeda,A.,Sequera,G.,Montoya,R.,Holmes,E.C.,de Oliveira,T.,Roco,J.M.,Lourenco,J.,Fonseca,V.,Alcantara,L.C.J.,Rodrigues,E.,Mendes,J.,Filippis,A.M.Bd.	Pan American Health Organization (PAHO), PHE-Brazil
OQ865305	OQ865305.1	LACENBA-292746651	2022-11-08	South America	Brazil	Itabuna		Homo sapiens	2023-08-15		Rego et al.	Rego,F.,Andrade,G.,Lima,T.,Nardy,V.,Leal,A.,Pereira,F.	Central Public Health Laboratory Goncalo Moniz, CLAVEP
OQ865312	OQ865312.1	LACENBA-292775033	2022-12-14	South America	Brazil	Itabuna		Homo sapiens	2023-08-15		Rego et al.	Rego,F.,Andrade,G.,Lima,T.,Nardy,V.,Leal,A.,Pereira,F.	Central Public Health Laboratory Goncalo Moniz, CLAVEP
OR063989	OR063989.1	CHKV_Brazil/PR/IAL/100_23/2022	2022-12-26	South America	Brazil	Paraná	Curitiba (Paraná)	Homo sapiens	2023-07-19		Sacchi et al.	Sacchi,C.T.,Campos,K.R.,Santos,M.B.N.,Nogueira,J.S.	Instituto Adolfo Lutz, Strategic Laboratory
OR064026	OR064026.1	CHKV_Brazil/SP/IAL/NGS_654H/2023	2023-01-24	South America	Brazil	São Paulo	Ribeirao Preto	Homo sapiens	2023-07-19		Sacchi et al.	Sacchi,C.T.,Campos,K.R.,Santos,M.B.N.,Nogueira,J.S.	Instituto Adolfo Lutz, Strategic Laboratory
OR167312	OR167312.1	CHIKV/Brazil/GO-LACENGO-520392192/2023	2023-02-27	South America	Brazil	Goiás		Homo sapiens	2023-09-04		Mendonca et al.	Mendonca,A.F.,Andrade,C.F.,Sobreiro,M.B.,Almeida,R.M.,Silva,V.L.,Pereira,L.A.	Central Public Health Laboratory Dr. Giovanni Cysneiros (LACEN-GO), Molecular Biology
OR167326	OR167326.1	CHIKV/Brazil/MS-LACENGO-500731664/2023	2023-03-16	South America	Brazil	Mato Grosso		Homo sapiens	2023-09-04		Mendonca et al.	Mendonca,A.F.,Andrade,C.F.,Sobreiro,M.B.,Almeida,R.M.,Silva,V.L.,Pereira,L.A.	Central Public Health Laboratory Dr. Giovanni Cysneiros (LACEN-GO), Molecular Biology
OR167335	OR167335.1	CHIKV/Brazil/DF-LACENGO-2179133401/2023	2023-04-27	South America	Brazil	Distrito Federal		Homo sapiens	2023-09-04		Mendonca et al.	Mendonca,A.	Central Public Health Laboratory Dr. Giovanni Cysneiros (LACEN-GO), Molecular Biology
OR167340	OR167340.1	CHIKV/Brazil/GO-LACENGO-520405437/2023	2023-04-17	South America	Brazil	Goiás		Homo sapiens	2023-09-04		Mendonca et al.	Mendonca,A.	Central Public Health Laboratory Dr. Giovanni Cysneiros (LACEN-GO), Molecular Biology
OR167341	OR167341.1	CHIKV/Brazil/GO-LACENGO-520413744/2023	2023-05-15	South America	Brazil	Goiás		Homo sapiens	2023-09-04		Mendonca et al.	Mendonca,A.	Central Public Health Laboratory Dr. Giovanni Cysneiros (LACEN-GO), Molecular Biology
OR360568	OR360568.1	UY_ARBOI_CH23_47	2023-03-01	South America	Uruguay	Montevideo	Montevideo	Homo sapiens	2023-11-01		Cortinas et al.	Cortinas,M.N.,Fonseca,V.,Giovanetti,M.,Martin,R.S.,Lima,M.,Burgueno,A.,Guimaraes,N.,Morel,M.N.,Bormida,V.B.,Castro,E.,Alcantara,L.C.J.,Chiparelli,H.	Pan American Health Organization (PAHO), PHE-Brazil
OR360569	OR360569.1	UY_ARBOI_CH_23_21	2023-02-05	South America	Uruguay	Altos la Tahona	Canelones	Homo sapiens	2023-11-01		Cortinas et al.	Cortinas,M.N.,Fonseca,V.,Giovanetti,M.,Martin,R.S.,Lima,M.,Burgueno,A.,Guimaraes,N.,Morel,M.N.,Bormida,V.B.,Castro,E.,Alcantara,L.C.J.,Chiparelli,H.	Pan American Health Organization (PAHO), PHE-Brazil
OR360570	OR360570.1	UY_ARBOI_CH23_87	2023-03-20	South America	Uruguay	Montevideo	Montevideo	Homo sapiens	2023-11-01		Cortinas et al.	Cortinas,M.N.,Fonseca,V.,Giovanetti,M.,Martin,R.S.,Lima,M.,Burgueno,A.,Guimaraes,N.,Morel,M.N.,Bormida,V.B.,Castro,E.,Alcantara,L.C.J.,Chiparelli,H.	Pan American Health Organization (PAHO), PHE-Brazil
OR360574	OR360574.1	UY_ARBOI_CH23_100	2023-04-06	South America	Uruguay	Punta del Este	Maldonado	Homo sapiens	2023-11-01		Cortinas et al.	Cortinas,M.N.,Fonseca,V.,Giovanetti,M.,Martin,R.S.,Lima,M.,Burgueno,A.,Guimaraes,N.,Morel,M.N.,Bormida,V.B.,Castro,E.,Alcantara,L.C.J.,Chiparelli,H.	Pan American Health Organization (PAHO), PHE-Brazil
OR412348	OR412348.1	MY/2021/7236-2509922/Malaysia	2021-11-17	Asia	Malaysia	Kuala Lumpur		Homo sapiens	2024-11-21		Azman et al.	Azman,I.K.,Chan,Y.F.,Chua,C.L.,Abd Mutalib,Z.A.,Dass,S.C.,Gill,B.S.,Ismail,N.H.,Jelip,J.,Wan,M.K.,Lee,W.C.,Vythilingam,I.,Alphey,L.,Sam,I.C.,Sam,I.-C.	University Malaya, Department of Medical Microbiology, Faculty of Medicine
OR412349	OR412349.1	MY/2017/M/CHIK/17/07/02/Malaysia	2017-07-21	Asia	Malaysia	Kota Bharu	Kelantan	Homo sapiens	2024-11-21		Azman et al.	Azman,I.K.,Chan,Y.F.,Chua,C.L.,Abd Mutalib,Z.A.,Dass,S.C.,Gill,B.S.,Ismail,N.H.,Jelip,J.,Wan,M.K.,Lee,W.C.,Vythilingam,I.,Alphey,L.,Sam,I.C.,Fu,J.Y.L.,Sam,I.-C.	University Malaya, Department of Medical Microbiology, Faculty of Medicine
OR412350	OR412350.1	MY/2017/M/CHIK/17/08/07/Malaysia	2017-09-06	Asia	Malaysia	Kota Bharu	Kelantan	Homo sapiens	2024-11-21		Azman et al.	Azman,I.K.,Chan,Y.F.,Chua,C.L.,Abd Mutalib,Z.A.,Dass,S.C.,Gill,B.S.,Ismail,N.H.,Jelip,J.,Wan,M.K.,Lee,W.C.,Vythilingam,I.,Alphey,L.,Sam,I.C.,Fu,J.Y.L.,Sam,I.-C.	University Malaya, Department of Medical Microbiology, Faculty of Medicine
OR412352	OR412352.1	MY/2017/M/CHIK/17/08/06/Malaysia	2017-09-06	Asia	Malaysia	Kota Bharu	Kelantan	Homo sapiens	2025-01-01		Chua et al.	Chua,C.L.,Fu,J.Y.L.,Chan,Y.F.,Ismail,N.H.,Sam,I.-C.	University Malaya, Department of Medical Microbiology, Faculty of Medicine
OR470610	OR470610.1	NIMH-CHIKV_SJ51_S	2021-02-06	Asia	India			Homo sapiens	2024-09-01		Pattabiraman et al.	Pattabiraman,C.,Prasad,P.,Prabhu,N.,Damodar,T.	National Institute of Mental Health and Neurosciences, Department of Neurovirology
OR488124	OR488124.1	Mother_head_129	2019-11-XX	North America	Guadeloupe			Aedes aegypti	2024-09-01		Gutierrez-Bugallo et al.	Gutierrez-Bugallo,G.,Vega-Rua,A.	Institut Pasteur de la Guadeloupe, Laboratoire d'Etude sur le Controle des Vecteurs (LECoV)
OR631899	OR631899.1	AR20230720_MS3148148_10824_CHIK|2023-04-28	2023-04-28	South America	Argentina	Corrientes		Homo sapiens	2023-11-05		Fabbri et al.	Fabbri,C.,Giovanetti,M.,Fonseca,V.,Franco,L.,Mendez,J.,Alcantara,L.C.J.,Morales,M.A.	Pan American Health Organization (PAHO), PHE-Brazil
OR631910	OR631910.1	AR20230720_MS3148148_10836_CHIK|2023-03-24	2023-03-24	South America	Argentina	Posadas	Misiones	Homo sapiens	2023-11-05		Fabbri et al.	Fabbri,C.,Giovanetti,M.,Fonseca,V.,Franco,L.,Mendez,J.,Alcantara,L.C.J.,Morales,M.A.	Pan American Health Organization (PAHO), PHE-Brazil
OR715104	OR715104.1	23GZ20234	2023-10-17	Asia	India			Homo sapiens	2023-11-14		Su et al.	Su,W.,Lu,W.,Cao,Y.	Guangzhou Center for Disease Control and Prevention, Derpartment of Virology
OR785139	OR785139.1	23GZ20961	2023-10-XX	Asia	Philippines			Homo sapiens	2023-11-18		Su et al.	Su,W.,Lu,W.,Cao,Y.	Guangzhou Center for Disease Control and Prevention, Derpartment of Virology
OR787487	OR787487.1	53Sp.CIRUADY	2022-09-XX	North America	Mexico	Yucatan	Panaba	Sturnira parvidens	2023-11-18		Yeh-Gorocica et al.	Yeh-Gorocica,A.B.,Rivero Juarez,A.,Torres-Castro,M.A.	Universidad Autonoma de Yucatan, Zoonosis
OR787494	OR787494.1	70Aj.CIRUADY	2023-01-XX	North America	Mexico	Yucatan	Panaba	Artibeus jamaicensis	2023-11-18		Yeh-Gorocica et al.	Yeh-Gorocica,A.B.,Rivero Juarez,A.,Torres-Castro,M.A.	Universidad Autonoma de Yucatan, Zoonosis
OR787503	OR787503.1	97Gm.CIRUADY	2023-02-XX	North America	Mexico	Yucatan	Tekax	Glossophaga mutica	2023-11-18		Yeh-Gorocica et al.	Yeh-Gorocica,A.B.,Rivero Juarez,A.,Torres-Castro,M.A.	Universidad Autonoma de Yucatan, Zoonosis
OR787504	OR787504.1	101Gm.CIRUADY	2023-02-XX	North America	Mexico	Yucatan	Tekax	Glossophaga mutica	2023-11-18		Yeh-Gorocica et al.	Yeh-Gorocica,A.B.,Rivero Juarez,A.,Torres-Castro,M.A.	Universidad Autonoma de Yucatan, Zoonosis
OR787506	OR787506.1	131Pm.CIRUADY	2023-04-XX	North America	Mexico	Yucatan	Tekax	Peropteryx macrotis	2023-11-18		Yeh-Gorocica et al.	Yeh-Gorocica,A.B.,Rivero Juarez,A.,Torres-Castro,M.A.	Universidad Autonoma de Yucatan, Zoonosis
OZ252702	OZ252702.1	unavailable	2023-03-14	Europe	Spain			Homo sapiens	2025-06-27	ERR14869398	Casimiro-Soriguer et al.	Casimiro-Soriguer,C.S.,Perez-Florido,J.,Robles,E.A.,Lara,M.,Aguado,A.,Rodriguez Iglesias,M.A.,Lepe,J.A.,Garcia,F.,Perez-Alegre,M.,Andujar,E.,Jimenez,V.E.,Camino,L.P.,Loruso,N.,Ameyugo,U.,Vazquez,I.M.,Lozano,C.M.,Chaves,J.A.,Dopazo,J.	Clinical Bioinformatics Area, Hospital Virgen del Rocio, Avenida Manuel Siurot s/n, 41003
OZ252703	OZ252703.1	unavailable	2023-03-21	Europe	Spain			Homo sapiens	2025-06-27	ERR14869399	Casimiro-Soriguer et al.	Casimiro-Soriguer,C.S.,Perez-Florido,J.,Robles,E.A.,Lara,M.,Aguado,A.,Rodriguez Iglesias,M.A.,Lepe,J.A.,Garcia,F.,Perez-Alegre,M.,Andujar,E.,Jimenez,V.E.,Camino,L.P.,Loruso,N.,Ameyugo,U.,Vazquez,I.M.,Lozano,C.M.,Chaves,J.A.,Dopazo,J.	Clinical Bioinformatics Area, Hospital Virgen del Rocio, Avenida Manuel Siurot s/n, 41003
PP319440	PP319440.1	Homo sapiens/Haiti-38/2021	2021-12-03	North America	Haiti			Homo sapiens	2024-02-19		Moquin et al.	Moquin,T.L.,Louis,R.,Morris,J.G. Jr.,Lednicky,J.A.	University of Florida - Gainesville, Environmental and Global Health
PP336968	PP336968.1	#35B	2017-04-23	South America	Brazil	Fortaleza	Ceara	Homo sapiens	2024-03-24		de Souza et al.	de Souza,W.M.,Fumagalli,M.J.,de Lima,S.T.S.,Parise,P.L.,Carvalho,D.C.M.,Hernandez,C.,de Jesus,R.,Delafiori,J.,Candido,D.S.,Carregari,V.C.,Muraro,S.P.,Souza,G.F.,Simoes Mello,L.M.,Claro,I.M.,Diaz,Y.,Kato,R.B.,Trentin,L.N.,Costa,C.H.S.,Maximo,A.C.B.M.,Cavalcante,K.F.,Fiuza,T.S.,Viana,V.A.F.,Melo,M.E.L.,Ferraz,C.P.M.,Silva,D.B.,Duarte,L.M.F.,Barbosa,P.P.,Amorim,M.R.,Judice,C.C.,Toledo-Teixeira,D.A.,Ramundo,M.S.,Aguilar,P.V.,Araujo,E.L.L.,Costa,F.T.M.,Cerqueira-Silva,T.,Khouri,R.,Boaventura,V.S.,Figueiredo,L.T.M.,Fang,R.,Moreno,B.,Lopez-Verges,S.,Mello,L.P.,Skaf,M.S.,Catharino,R.R.,Granja,F.,Martins-de-Souza,D.,Plante,J.A.,Plante,K.S.,Sabino,E.C.,Diamond,M.S.,Eugenin,E.,Proenca-Modena,J.L.,Faria,N.R.,Weaver,S.C.,de Lima,S.T.,Carvalho,D.,Candido,D.,Carregari,V.,Muraro,S.,Souza,G.,Simoes Mello,L.,Claro,I.,Kato,R.,Trentin,L.,Costa,C.,Maximo,A.C.,Cavalcante,K.,Fiuza,T.,Viana,V.,Melo,M.E.,Ferraz,C.,Silva,D.,Duarte,L.,Barbosa,P.,Amorim,M.,Judice,C.,Toledo-Teixeira,D.,Ramundo,M.,Aguilar,P.,Araujo,E.,Costa,F.,Boaventura,V.,Figueiredo,L.T.,Perdigao Mello,L.,Skaf,M.,Catharino,R.,Plante,J.,Plante,K.,Sabino,E.	University of Kentucky, Microbiology, Immunology, and Molecular Genetics
PP336988	PP336988.1	#27B	2017-04-14	South America	Brazil	Caucaia	Ceara	Homo sapiens	2024-03-24		de Souza et al.	de Souza,W.M.,Fumagalli,M.J.,de Lima,S.T.S.,Parise,P.L.,Carvalho,D.C.M.,Hernandez,C.,de Jesus,R.,Delafiori,J.,Candido,D.S.,Carregari,V.C.,Muraro,S.P.,Souza,G.F.,Simoes Mello,L.M.,Claro,I.M.,Diaz,Y.,Kato,R.B.,Trentin,L.N.,Costa,C.H.S.,Maximo,A.C.B.M.,Cavalcante,K.F.,Fiuza,T.S.,Viana,V.A.F.,Melo,M.E.L.,Ferraz,C.P.M.,Silva,D.B.,Duarte,L.M.F.,Barbosa,P.P.,Amorim,M.R.,Judice,C.C.,Toledo-Teixeira,D.A.,Ramundo,M.S.,Aguilar,P.V.,Araujo,E.L.L.,Costa,F.T.M.,Cerqueira-Silva,T.,Khouri,R.,Boaventura,V.S.,Figueiredo,L.T.M.,Fang,R.,Moreno,B.,Lopez-Verges,S.,Mello,L.P.,Skaf,M.S.,Catharino,R.R.,Granja,F.,Martins-de-Souza,D.,Plante,J.A.,Plante,K.S.,Sabino,E.C.,Diamond,M.S.,Eugenin,E.,Proenca-Modena,J.L.,Faria,N.R.,Weaver,S.C.,de Lima,S.T.,Carvalho,D.,Candido,D.,Carregari,V.,Muraro,S.,Souza,G.,Simoes Mello,L.,Claro,I.,Kato,R.,Trentin,L.,Costa,C.,Maximo,A.C.,Cavalcante,K.,Fiuza,T.,Viana,V.,Melo,M.E.,Ferraz,C.,Silva,D.,Duarte,L.,Barbosa,P.,Amorim,M.,Judice,C.,Toledo-Teixeira,D.,Ramundo,M.,Aguilar,P.,Araujo,E.,Costa,F.,Boaventura,V.,Figueiredo,L.T.,Perdigao Mello,L.,Skaf,M.,Catharino,R.,Plante,J.,Plante,K.,Sabino,E.	University of Kentucky, Microbiology, Immunology, and Molecular Genetics
PP336994	PP336994.1	#105S	2019-05-30	South America	Brazil	Rio de Janeiro	Rio de Janeiro	Homo sapiens	2024-03-24		de Souza et al.	de Souza,W.M.,Fumagalli,M.J.,de Lima,S.T.S.,Parise,P.L.,Carvalho,D.C.M.,Hernandez,C.,de Jesus,R.,Delafiori,J.,Candido,D.S.,Carregari,V.C.,Muraro,S.P.,Souza,G.F.,Simoes Mello,L.M.,Claro,I.M.,Diaz,Y.,Kato,R.B.,Trentin,L.N.,Costa,C.H.S.,Maximo,A.C.B.M.,Cavalcante,K.F.,Fiuza,T.S.,Viana,V.A.F.,Melo,M.E.L.,Ferraz,C.P.M.,Silva,D.B.,Duarte,L.M.F.,Barbosa,P.P.,Amorim,M.R.,Judice,C.C.,Toledo-Teixeira,D.A.,Ramundo,M.S.,Aguilar,P.V.,Araujo,E.L.L.,Costa,F.T.M.,Cerqueira-Silva,T.,Khouri,R.,Boaventura,V.S.,Figueiredo,L.T.M.,Fang,R.,Moreno,B.,Lopez-Verges,S.,Mello,L.P.,Skaf,M.S.,Catharino,R.R.,Granja,F.,Martins-de-Souza,D.,Plante,J.A.,Plante,K.S.,Sabino,E.C.,Diamond,M.S.,Eugenin,E.,Proenca-Modena,J.L.,Faria,N.R.,Weaver,S.C.,de Lima,S.T.,Carvalho,D.,Candido,D.,Carregari,V.,Muraro,S.,Souza,G.,Simoes Mello,L.,Claro,I.,Kato,R.,Trentin,L.,Costa,C.,Maximo,A.C.,Cavalcante,K.,Fiuza,T.,Viana,V.,Melo,M.E.,Ferraz,C.,Silva,D.,Duarte,L.,Barbosa,P.,Amorim,M.,Judice,C.,Toledo-Teixeira,D.,Ramundo,M.,Aguilar,P.,Araujo,E.,Costa,F.,Boaventura,V.,Figueiredo,L.T.,Perdigao Mello,L.,Skaf,M.,Catharino,R.,Plante,J.,Plante,K.,Sabino,E.	University of Kentucky, Microbiology, Immunology, and Molecular Genetics
PP554682	PP554682.1	24GZ00889	2024-01-20	Asia	Indonesia			Homo sapiens	2024-04-29		Su et al.	Su,W.,Lu,W.,Liu,P.,Cao,Y.	Guangzhou Center for Disease Control and Prevention, Derpartment of Virology
PP862724	PP862724.1	MBC099	2016-03-28	Europe	Spain				2024-07-08		Mendoza et al.	Mendoza,P.,Ortiz-Alvarez,L.	Vircell S.L., I+D, Molecular Diagnostics
PP964031	PP964031.1	FAMCX_4F	2018-07-05	North America	Mexico			Homo sapiens	2024-07-03		Perez Perez et al.	Perez Perez,J.E.,Guzman Martinez,O.,Torres Flores,J.M.,Sampieri,C.L.,Perez Carreon,J.I.,Lopez Balderas,N.,Barragan,M.A.,Mendoza Cervantes,G.,Garcia Garcia,F.,Blazquez Morales,M.S.,Campos Parra,A.D.,Sanchez Marin,D.,Montero L De Guevara,H.	Instituto de Salud Publica, Instituto de Salud Publica
PQ257006	PQ257006.1	CHIKV_181/25_RPA_Reaction	2016-11-XX	North America	USA				2024-09-18		Sridhar et al.	Sridhar,S.,Tonto,P.B.,Lumkong,L.,Netto,E.M.,Brites,C.,Wang,W.-K.,Herrera,B.B.	CHI, RWJMS, Rutgers University, Department of Medicine, Division of Allergy, Immunology, and Infectious Diseases, and Child Health Institute of New Jersey
PQ257010	PQ257010.1	CHIKV_Human_Serum_1	2023-07-XX	South America	Brazil			Homo sapiens	2024-09-18		Sridhar et al.	Sridhar,S.,Tonto,P.B.,Lumkong,L.,Netto,E.M.,Brites,C.,Wang,W.-K.,Herrera,B.B.	CHI, RWJMS, Rutgers University, Department of Medicine, Division of Allergy, Immunology, and Infectious Diseases, and Child Health Institute of New Jersey
PQ441909	PQ441909.1	PQ441909	2023-08-05	South America	Brazil			Homo sapiens	2024-10-29		Khan et al.	Khan,K.,Reedoy,K.,Jule,Z.,Singh,Y.,Sinqueira,I.,Sigal,A.	Africa Health Research Institute
PQ483512	PQ483512.1	CHIKV-68001	2023-08-10	Africa	Côte d'Ivoire			Homo sapiens	2024-11-19		Idrissi et al.	Idrissi,A.,Geoffroy,A.,Fournet,N.,Brichler,S.,Gabriela,M.,Rossi,F.,Pezzi,L.,Ayhan,N.,Klitting,R.,Grard,G.,Durand,G.A.,de Lamballerie,X.,Paty,M.-C.,Tarantola,A.,Soubise,A.Z.,Piorkowski,G.,Amaral,R.,Carrara,M.,Fontaine,A.,Durand,G.	Unite des Virus Emergents, Centre National de Reference des Arbovirus
PQ637673	PQ637673.1	AB2934	2020-04-14	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637674	PQ637674.1	AB2951	2020-05-15	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637680	PQ637680.1	AB3310	2020-11-05	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637681	PQ637681.1	AB3415	2020-12-03	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637683	PQ637683.1	AB3556	2021-02-03	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637684	PQ637684.1	AB3620	2021-03-18	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637685	PQ637685.1	AB3709	2021-12-20	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637691	PQ637691.1	AB3772	2022-05-11	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637693	PQ637693.1	AB3804	2022-07-20	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637694	PQ637694.1	AB3816	2022-08-17	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637698	PQ637698.1	AB4258	2022-12-15	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637705	PQ637705.1	AB4703	2023-07-28	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
